VideoID,Title,Author,NumberOfViews,VideoLength,Description,IsLiveContent,PublishedTime,ChannelID,Category,Type,Keywords,Thumbnails
x2PWBkPBxNM,Entering The World's Narrowest City,Drew Binsky,557683,26:01,"Welcome to Yanjin, China - the narrowest city in the world! This place is AWESOME! More than 100000 people call this unique ...",,2 days ago,UC0Ize0RLIbGdH5x4wI45G-A,,NORMAL,,
rc2j9_EUXuY,CHINA (THEY NEVER WANTED YOU TO SEE),Matt and Julia,33326,20:40,"Chongqing, China. This the side of China most hidden from the Western World. China is often portrayed in a negative light in the ...",,5 days ago,UCnrHlFu6ZueDosGPt9R3nHw,,NORMAL,,
SRFt4ATUs1k,FASTEST Train Ride in World: Beijing-Shanghai! 🇨🇳 1200 kms in 4 hours!,Passenger Paramvir,723312,42:45,Travelling to Shanghai from Beijing in China's Bullet Traint! Follow me on Instagram: paramvir_beniwal ...,,2 days ago,UCK2_PiPOB0VEZfbbaHj-z5w,,NORMAL,,
fci9MQ3VZ_I,The Side of China The Media Won't Show You,Mike Okay,2242376,50:14,In this video I'll attempt to travel over 2000km across China. Nothing could have prepared me for what was to come on this ...,,12 days ago,UCpp3cHR9TWVyXqL1AVw4XkA,,NORMAL,,
ci0KJEnUcBU,"KUNMING, YUNNAN 🇨🇳 (First Impressions of China’s MOST DIVERSE City)",Matt and Julia,15082,26:28,"Welcome to Kunming, the capital of Yunnan, the most diverse province in China. In this vlog, we explore Kunming and give our ...",,2 days ago,UCnrHlFu6ZueDosGPt9R3nHw,,NORMAL,,
8kprn5-pcA4,Incredible First Experience of a Chinese Concert 🇨🇳 (Hua Chenyu 华晨宇 LIVE),Jack Aynsley Travel,25049,1:22:51,"Hua Chenyu @ The National Stadium (Bird's Nest), Beijing, China We're so grateful to our friend Zixin, who helped us get ...",,21 hours ago,UCe4gm8VLGL8BLvv_bgiN04g,,NORMAL,,
Ohcqv2G_20o,I experienced the REAL Chengdu 🇨🇳 China shocked me!,Travel For Phoebe,66866,24:24,I did NOT expect Chengdu to be like this! I visited for the first time and fell in love with this vibrant city. If you're looking for an ...,,8 days ago,UCMhDk2qIKoE7bVht4GeQ8Lg,,NORMAL,,
WC7uRTkploo,"ZHANGJIAJIE, CHINA 🇨🇳 48 Hours in BREATHTAKING Avatar Mountains!",Matt and Julia,27935,16:06,"This is Zhangjiajie, one of the most beautiful places to travel in China. This unique landscape is in fact where the Avatar movie ...",,9 days ago,UCnrHlFu6ZueDosGPt9R3nHw,,NORMAL,,
daYIgVHh9Zg,China: Visit China #travel #chinatravel #shorts #short #ytshorts #youtubeshorts #china #travelvlog,Travel with Damal Consult,449,SHORTS,,,2 days ago,UCWjuzetaB2pfriwCtSdshhw,,NORMAL,,
-wIB1Xy1v-Y,This is NOT the China We Expected… 🇨🇳,Jay and Karolina,48322,52:22,——————————————————————————— Work With Us My Email → hello@jayeshchhaya.com (Business ...,,3 days ago,UCsDx-8h0RVF2yEzNk3uDEzg,,NORMAL,,
zLO0eNFG2Ms,Flying into China was NOT What I Expected! 🇨🇳,Travelwithchris,126771,34:52,"Flying into Beijing, China was NOT What I Expected! In this video we will travel from Tokyo, Japan to Beijing and I will be sharing ...",,9 days ago,UC40tCi6qlNr-WS37JQSrSUQ,,NORMAL,,
OfPxyNmkCyk,This is Really What CHINA Do Better Than The West 🇨🇳中文字幕,On Tour With Dridgers #OTWD,30226,17:41,#china #xiamen #chinatravel Looking for an Esim? Get the best deal at nomad esim.Click the link https://www.getnomad.app/ and ...,,7 days ago,UCHk-j6L93O3JrxhA87H0oWQ,,NORMAL,,
_IZFEhtfdNw,I Left CHINA Within 24 Hours: The Trip From HELL! 🇨🇳 😤,Marco Roams,46034,40:38,I Left CHINA within 24 Hours The Trip From HELL! 24 Hours in China:The WORST Travel Experience Ever! China!,,11 days ago,UCWkguf2p-KFU5uE7iXJuj5g,,NORMAL,,
qSqQYC4gQ6U,"Britain and America are on edge, happy I am back in China",For All Life's Adventures,16864,15:27,Thank you for watching.,,1 day ago,UC381oS60ZAAw1TgxqHhb05Q,,NORMAL,,
MbHpyqwcyps,"What's RURAL China really like?... 🇨🇳 | Yangshuo, China 2024",VeggiesOnTour,25113,,"Someone once said to us ""China is NOT beautiful"", but today we are in Rural China and share a little bit of what potential beauty ...",,5 days ago,UC42EaI0uk7ihWc0l3VYLY8Q,,NORMAL,,
Y_Zfte4goj8,We went to the MOST CONFUSING City in CHINA and it BLEW our MINDS 🇨🇳,The Hutchinsons,29877,13:09,Chongqing is so cool but sometimes it can get a little bit confusing haha! We had such a great time there as a family and seeing ...,,8 days ago,UCYC6B6DMhDUTQQrwgD0CwOw,,NORMAL,,
